AsOfLocal,AsOfTimeZone,AccountId,MaskedAccount,AccountLabel,AccountType,LiveAccountValue,CashAvailToWithdraw,CashBuyingPower,MarginBuyingPower,TodaysTradingGain,YtdTradingGain,NetCalls,SourceHash,RawStoredPath
2026-06-14 20:50:00,EST,,,All Accounts - 3 accounts,--,193658.37977,24219.093,24219.093,509.464,1756.6619641,36351.7310723,--,88bddc755842ecfde13fd128e13380e00a25d608174189effda06997fb9c3801,data/raw/etrade/balances/20260614-181829-88bddc755842-Balances.csv
2026-06-14 20:50:00,EST,900001001,x1001,Traditional IRA - x1001,CASH,171574.62577,23671.086,23671.086,--,1763.8899649,31129.3496586,--,88bddc755842ecfde13fd128e13380e00a25d608174189effda06997fb9c3801,data/raw/etrade/balances/20260614-181829-88bddc755842-Balances.csv
2026-06-14 20:50:00,EST,900001002,x1002,Individual Brokerage - x1002,MARGIN,463.802,254.732,254.732,509.464,16.027,57.9909994,--,88bddc755842ecfde13fd128e13380e00a25d608174189effda06997fb9c3801,data/raw/etrade/balances/20260614-181829-88bddc755842-Balances.csv
2026-06-14 20:50:00,EST,900001003,x1003,Partnership / LLC / LLP - x1003,CASH,21619.952,293.275,293.275,--,-23.2550008,5164.3904143,--,88bddc755842ecfde13fd128e13380e00a25d608174189effda06997fb9c3801,data/raw/etrade/balances/20260614-181829-88bddc755842-Balances.csv
2026-06-16 19:59:00,EST,,,All Accounts - 3 accounts,--,195729.3773195,515.4579805,2436.7027595,516.0319806,-1495.508967,38406.0389968,--,2c4c260b8031b49f3e103f6db89837ba2457e02d79b61df6baabc8009b675f4a,data/raw/etrade/balances/20260616-170446-2c4c260b8031-Summary.csv
2026-06-16 19:59:00,EST,900001001,x1001,Traditional IRA - x1001,CASH,173539.949339,--,1921.244779,--,-869.682967,33077.0425831,--,2c4c260b8031b49f3e103f6db89837ba2457e02d79b61df6baabc8009b675f4a,data/raw/etrade/balances/20260616-170446-2c4c260b8031-Summary.csv
2026-06-16 19:59:00,EST,900001002,x1002,Individual Brokerage - x1002,MARGIN,440.9129805,243.2329805,243.2329805,516.0319806,-40.938,36.0429994,--,2c4c260b8031b49f3e103f6db89837ba2457e02d79b61df6baabc8009b675f4a,data/raw/etrade/balances/20260616-170446-2c4c260b8031-Summary.csv
2026-06-16 19:59:00,EST,900001003,x1003,Partnership / LLC / LLP - x1003,CASH,21748.515,272.225,272.225,--,-584.888,5292.9534143,--,2c4c260b8031b49f3e103f6db89837ba2457e02d79b61df6baabc8009b675f4a,data/raw/etrade/balances/20260616-170446-2c4c260b8031-Summary.csv
2026-07-01 19:42:00,EST,900001004,x1004,Individual 401(k) - x1004,CASH,34917.75,27.195,27.195,--,23.5385,5792.619135,--,3b2c9b5e85ab3698a812765857ed73f42f2ff8585f2fe7c685df3a0d8c60d87a,data/raw/etrade/balances/20260701-235622-3b2c9b5e85ab-demo-b-Summary.csv
2026-07-01 19:28:00,EST,,,All Accounts - 3 accounts,--,191827.8863435,249.108,357.2276955,519.038,-1514.24854,34084.1728846,--,4840d058856d087b6435763ebf9c46fb2fa9e77cac74ea85ef8f4c90a315f2fd,data/raw/etrade/balances/20260701-235622-4840d058856d-demo-a-Summary.csv
2026-07-01 19:28:00,EST,900001001,x1001,Traditional IRA - x1001,CASH,169630.1773435,--,108.1196955,--,-926.53254,28942.0654718,--,4840d058856d087b6435763ebf9c46fb2fa9e77cac74ea85ef8f4c90a315f2fd,data/raw/etrade/balances/20260701-235622-4840d058856d-demo-a-Summary.csv
2026-07-01 19:28:00,EST,900001002,x1002,Individual Brokerage - x1002,MARGIN,406.745,206.745,206.745,519.038,-28.45,1.9499994,--,4840d058856d087b6435763ebf9c46fb2fa9e77cac74ea85ef8f4c90a315f2fd,data/raw/etrade/balances/20260701-235622-4840d058856d-demo-a-Summary.csv
2026-07-01 19:28:00,EST,900001003,x1003,Partnership / LLC / LLP - x1003,CASH,21790.964,42.363,42.363,--,-559.266,5140.1574134,--,4840d058856d087b6435763ebf9c46fb2fa9e77cac74ea85ef8f4c90a315f2fd,data/raw/etrade/balances/20260701-235622-4840d058856d-demo-a-Summary.csv
