AsOfLocal,AsOfTimeZone,AccountId,MaskedAccount,AccountLabel,CashConcept,Amount,SourceExportType,SourceHash,RawStoredPath
2026-06-14 20:50:00,EST,,,All Accounts - 3 accounts,CashAvailToWithdraw,24219.093,balances,a8c8fac803d9cd435012185ce5fe152ae9b1eeccb5db8a35b23f3a7188d60cfd,data/raw/etrade/balances/20260614-181829-88bddc755842-Balances.csv
2026-06-14 20:50:00,EST,,,All Accounts - 3 accounts,CashBuyingPower,24219.093,balances,a8c8fac803d9cd435012185ce5fe152ae9b1eeccb5db8a35b23f3a7188d60cfd,data/raw/etrade/balances/20260614-181829-88bddc755842-Balances.csv
2026-06-14 20:50:00,EST,,,All Accounts - 3 accounts,MarginBuyingPower,509.464,balances,a8c8fac803d9cd435012185ce5fe152ae9b1eeccb5db8a35b23f3a7188d60cfd,data/raw/etrade/balances/20260614-181829-88bddc755842-Balances.csv
2026-06-14 20:50:00,EST,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdraw,23671.086,balances,a8c8fac803d9cd435012185ce5fe152ae9b1eeccb5db8a35b23f3a7188d60cfd,data/raw/etrade/balances/20260614-181829-88bddc755842-Balances.csv
2026-06-14 20:50:00,EST,900001001,x1001,Traditional IRA - x1001,CashBuyingPower,23671.086,balances,a8c8fac803d9cd435012185ce5fe152ae9b1eeccb5db8a35b23f3a7188d60cfd,data/raw/etrade/balances/20260614-181829-88bddc755842-Balances.csv
2026-06-14 20:50:00,EST,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdraw,254.732,balances,a8c8fac803d9cd435012185ce5fe152ae9b1eeccb5db8a35b23f3a7188d60cfd,data/raw/etrade/balances/20260614-181829-88bddc755842-Balances.csv
2026-06-14 20:50:00,EST,900001002,x1002,Individual Brokerage - x1002,CashBuyingPower,254.732,balances,a8c8fac803d9cd435012185ce5fe152ae9b1eeccb5db8a35b23f3a7188d60cfd,data/raw/etrade/balances/20260614-181829-88bddc755842-Balances.csv
2026-06-14 20:50:00,EST,900001002,x1002,Individual Brokerage - x1002,MarginBuyingPower,509.464,balances,a8c8fac803d9cd435012185ce5fe152ae9b1eeccb5db8a35b23f3a7188d60cfd,data/raw/etrade/balances/20260614-181829-88bddc755842-Balances.csv
2026-06-14 20:50:00,EST,900001003,x1003,Partnership / LLC / LLP - x1003,CashAvailToWithdraw,293.275,balances,a8c8fac803d9cd435012185ce5fe152ae9b1eeccb5db8a35b23f3a7188d60cfd,data/raw/etrade/balances/20260614-181829-88bddc755842-Balances.csv
2026-06-14 20:50:00,EST,900001003,x1003,Partnership / LLC / LLP - x1003,CashBuyingPower,293.275,balances,a8c8fac803d9cd435012185ce5fe152ae9b1eeccb5db8a35b23f3a7188d60cfd,data/raw/etrade/balances/20260614-181829-88bddc755842-Balances.csv
2026-06-16 19:59:00,EST,,,All Accounts - 3 accounts,CashAvailToWithdraw,515.4579805,balances,a8f1be8c71d303ab7797f7e094373996b606586eaacc22c73f344690df1d2348,data/raw/etrade/balances/20260616-170446-2c4c260b8031-Summary.csv
2026-06-16 19:59:00,EST,,,All Accounts - 3 accounts,CashBuyingPower,2436.7027595,balances,a8f1be8c71d303ab7797f7e094373996b606586eaacc22c73f344690df1d2348,data/raw/etrade/balances/20260616-170446-2c4c260b8031-Summary.csv
2026-06-16 19:59:00,EST,,,All Accounts - 3 accounts,MarginBuyingPower,516.0319806,balances,a8f1be8c71d303ab7797f7e094373996b606586eaacc22c73f344690df1d2348,data/raw/etrade/balances/20260616-170446-2c4c260b8031-Summary.csv
2026-06-16 19:59:00,EST,900001001,x1001,Traditional IRA - x1001,CashBuyingPower,1921.244779,balances,a8f1be8c71d303ab7797f7e094373996b606586eaacc22c73f344690df1d2348,data/raw/etrade/balances/20260616-170446-2c4c260b8031-Summary.csv
