ActivityDate,ActivityDateTime,AccountId,MaskedAccount,AccountLabel,IncomeType,Description,Symbol,Amount,SourceHash,RawStoredPath
2021-01-26,2021-01-26 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 12/26 THRU 01/25 APY 0.0099%,,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2021-02-26,2021-02-26 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 01/26 THRU 02/25 APY 0.0099%,,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2021-03-11,2021-03-11 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of MSFT @ $0,MSFT,5.208,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2021-03-26,2021-03-26 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 02/26 THRU 03/25 APY 0.0099%,,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2021-03-30,2021-03-30 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of VUG @ $0,VUG,9.599,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2021-04-26,2021-04-26 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 03/26 THRU 04/25 APY 0.0099%,,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2021-05-26,2021-05-26 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 04/26 THRU 05/25 APY 0.0099%,,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2021-06-10,2021-06-10 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of MSFT @ $0,MSFT,5.208,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2021-06-28,2021-06-28 03:00:00,900001004,x1004,Individual 401(k) - x1004,Interest,INTEREST ON CASH BALANCE AT 0.009% 05/26 THRU 06/25 APY 0.0099%,,0.001,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
2021-06-29,2021-06-29 03:00:00,900001004,x1004,Individual 401(k) - x1004,Dividend,0 of VUG @ $0,VUG,9.415,a0a44a54726c00643b105733ddbc6efde52249f05a827340583a61098fb433ea,data/raw/etrade/account_history/20260701-235622-a0a44a54726c-demo-b-History.csv
