SourceHash,RawStoredPath,AsOfLocal,AsOfTimeZone,AccountId,MaskedAccount,AccountLabel,PositionRaw,Symbol,Quantity,LotCount,DateAcquired,Term,CostBasis,ULPrice,ULChange,Mark,MarkChange,NetCostBasis,TodaysNetGain,OpenNetGain,MarketValue,Bid,Ask,EarningsDate
9e73420ee0a091176433122c41f8c80713630021a9a2d0bb01dbf720133da4e4,data/raw/etrade/portfolio_lot_level/20260614-181829-29adb4581805-PortfolioDownloadLotLevel.csv,2026-06-14 20:49:00,EST,900001002,x1002,Individual Brokerage - x1002,GDE +1 Share (1 lot),GDE,1,1,02/26/2026,Short term,7.558,6.357,0.042,6.357,0.042,7.558,0.042,-1.201,6.357,5.7,7.6,--
9e73420ee0a091176433122c41f8c80713630021a9a2d0bb01dbf720133da4e4,data/raw/etrade/portfolio_lot_level/20260614-181829-29adb4581805-PortfolioDownloadLotLevel.csv,2026-06-14 20:49:00,EST,900001002,x1002,Individual Brokerage - x1002,LITE +5 Shares (3 lots),LITE,5,3,04/14/2026,Short term,88.3588,92.156,3.197,92.156,3.197,88.3588,15.985,18.986,460.78,91.8,92.1,2026-08-12
9e73420ee0a091176433122c41f8c80713630021a9a2d0bb01dbf720133da4e4,data/raw/etrade/portfolio_lot_level/20260614-181829-29adb4581805-PortfolioDownloadLotLevel.csv,2026-06-14 20:49:00,EST,900001003,x1003,Partnership / LLC / LLP - x1003,AGX +13 Shares (2 lots),AGX,13,2,01/24/2025,Mixed term,22.2223846154,64.168,1.802,64.168,1.802,22.2223846154,23.426,545.293,834.184,63,65.243,2026-09-03
9e73420ee0a091176433122c41f8c80713630021a9a2d0bb01dbf720133da4e4,data/raw/etrade/portfolio_lot_level/20260614-181829-29adb4581805-PortfolioDownloadLotLevel.csv,2026-06-14 20:49:00,EST,900001003,x1003,Partnership / LLC / LLP - x1003,AMZN +62 Shares (6 lots),AMZN,62,6,12/04/2025,Short term,22.4797096774,23.855,-0.296,23.855,-0.296,22.4797096774,-18.352,85.268,1479.01,23.865,23.867,2026-07-30
9e73420ee0a091176433122c41f8c80713630021a9a2d0bb01dbf720133da4e4,data/raw/etrade/portfolio_lot_level/20260614-181829-29adb4581805-PortfolioDownloadLotLevel.csv,2026-06-14 20:49:00,EST,900001003,x1003,Partnership / LLC / LLP - x1003,CLS +44 Shares (4 lots),CLS,44,4,03/25/2025,Mixed term,13.6952727273,39.312,0.726,39.312,0.726,13.6952727273,31.944,1127.136,1729.728,39.5,39.628,2026-07-27
9e73420ee0a091176433122c41f8c80713630021a9a2d0bb01dbf720133da4e4,data/raw/etrade/portfolio_lot_level/20260614-181829-29adb4581805-PortfolioDownloadLotLevel.csv,2026-06-14 20:49:00,EST,900001003,x1003,Partnership / LLC / LLP - x1003,CRDO +134 Shares (7 lots),CRDO,134,7,01/09/2026,Short term,14.1369820896,25.081,-1.395,25.081,-1.395,14.1369820896,-143.4930008,1466.4984,3360.854,25.129,25.2,2026-09-02
9e73420ee0a091176433122c41f8c80713630021a9a2d0bb01dbf720133da4e4,data/raw/etrade/portfolio_lot_level/20260614-181829-29adb4581805-PortfolioDownloadLotLevel.csv,2026-06-14 20:49:00,EST,900001003,x1003,Partnership / LLC / LLP - x1003,GDE +20 Shares (1 lot),GDE,20,1,02/27/2026,Short term,7.58805,6.357,0.042,6.357,0.042,7.58805,0.84,-24.621,127.14,5.7,7.6,--
9e73420ee0a091176433122c41f8c80713630021a9a2d0bb01dbf720133da4e4,data/raw/etrade/portfolio_lot_level/20260614-181829-29adb4581805-PortfolioDownloadLotLevel.csv,2026-06-14 20:49:00,EST,900001003,x1003,Partnership / LLC / LLP - x1003,GDMN +127 Shares (3 lots),GDMN,127,3,11/11/2025,Short term,8.3555787402,8.021,0.166,8.021,0.166,8.3555787402,21.082,-42.4915,1018.667,6.935,8.2,--
9e73420ee0a091176433122c41f8c80713630021a9a2d0bb01dbf720133da4e4,data/raw/etrade/portfolio_lot_level/20260614-181829-29adb4581805-PortfolioDownloadLotLevel.csv,2026-06-14 20:49:00,EST,900001003,x1003,Partnership / LLC / LLP - x1003,GRNJ +340 Shares (2 lots),GRNJ,340,2,04/02/2026,Short term,2.7810676471,3.129,0.017,3.129,0.017,2.7810676471,5.78,118.297,1063.86,3,3.145,--
9e73420ee0a091176433122c41f8c80713630021a9a2d0bb01dbf720133da4e4,data/raw/etrade/portfolio_lot_level/20260614-181829-29adb4581805-PortfolioDownloadLotLevel.csv,2026-06-14 20:49:00,EST,900001003,x1003,Partnership / LLC / LLP - x1003,GRNY +390 Shares (3 lots),GRNY,390,3,04/16/2026,Short term,2.6232153846,2.72,0.031,2.72,0.031,2.6232153846,12.09,37.746,1060.8,2.706,2.743,--
