"900001003, as of 06/14/26 at 11:51 PM EST"
Date / Time,Type,Account #,Account Name,Description,Fee,Comm,Amount
 06/12/2026 10:00:54 AM,Bought,900001003,Partnership / LLC / LLP - x1003,25 of SPMO @ $15.206 (Order # 6876),--,$0,-$380.15
 06/12/2026 10:00:25 AM,Bought,900001003,Partnership / LLC / LLP - x1003,30 of CRDO @ $24.925 (Order # 3915),--,$0,-$747.74
 06/12/2026 09:45:51 AM,Bought,900001003,Partnership / LLC / LLP - x1003,150 of SPMO @ $15.012 (Order # 2520),--,$0,"-$2,251.8"
 06/12/2026 09:30:00 AM,Bought,900001003,Partnership / LLC / LLP - x1003,15 of MDLZ @ $6.332 (Order # 5675),--,$0,-$94.98
 06/12/2026 03:00:00 AM,Sweep,900001003,Partnership / LLC / LLP - x1003,BANK DEPOSIT PROGRAM,--,$0,"-$1,147.677"
 06/11/2026 04:00:02 PM,Sold,900001003,Partnership / LLC / LLP - x1003,5 of CLS @ $38.586 (Order # 7961),--,$0.004,$192.926
 06/11/2026 04:00:01 PM,Sold,900001003,Partnership / LLC / LLP - x1003,1 of LITE @ $88.959 (Order # 1069),--,$0.002,$88.957
 06/11/2026 04:00:00 PM,Sold,900001003,Partnership / LLC / LLP - x1003,50 of SHLD @ $6.515 (Order # 7124),--,$0.007,$325.742
 06/11/2026 04:00:00 PM,Sold,900001003,Partnership / LLC / LLP - x1003,10 of GDE @ $6.315 (Order # 3463),--,$0.002,$63.148
 06/11/2026 04:00:00 PM,Sold,900001003,Partnership / LLC / LLP - x1003,25 of SLV @ $6.082 (Order # 7511),--,$0.004,$152.046
 06/11/2026 04:00:00 PM,Sold,900001003,Partnership / LLC / LLP - x1003,39 of SLV @ $6.082 (Order # 4291),--,$0.005,$237.192
 06/11/2026 03:00:24 PM,Sold,900001003,Partnership / LLC / LLP - x1003,1 of LITE @ $87.668 (Order # 2427),--,$0.002,$87.666
 06/11/2026 03:00:00 AM,Sweep,900001003,Partnership / LLC / LLP - x1003,BANK DEPOSIT PROGRAM,--,$0,"-$2,394.948"
 06/10/2026 04:00:01 PM,Sold,900001003,Partnership / LLC / LLP - x1003,2 of LITE @ $85.326 (Order # 3580),--,$0.004,$170.648
 06/10/2026 04:00:01 PM,Sold,900001003,Partnership / LLC / LLP - x1003,5 of LITE @ $85.326 (Order # 8576),--,$0.009,$426.621
 06/10/2026 04:00:01 PM,Sold,900001003,Partnership / LLC / LLP - x1003,3 of MU @ $89.188 (Order # 6208),--,$0.006,$267.558
 06/10/2026 04:00:01 PM,Sold,900001003,Partnership / LLC / LLP - x1003,1 of LITE @ $85.326 (Order # 6312),--,$0.002,$85.324
 06/10/2026 10:03:55 AM,Sold,900001003,Partnership / LLC / LLP - x1003,175 of ETH @ $1.571 (Order # 9898),--,$0.006,$274.916
 06/10/2026 10:03:19 AM,Sold,900001003,Partnership / LLC / LLP - x1003,15 of CLS @ $37.433 (Order # 8582),--,$0.012,$561.483
