"900001001, as of 06/14/26 at 11:52 PM EST"
Date / Time,Type,Account #,Account Name,Description,Fee,Comm,Amount
 06/12/2026 07:34:35 PM,Bought,900001001,Traditional IRA - x1001,100 of SPCX @ $16.719 (Order # 8808),--,$0,"-$1,671.9"
 06/12/2026 05:32:50 PM,Sold,900001001,Traditional IRA - x1001,50 of SPCX @ $16.599 (Order # 1966),--,$0.018,$829.931
 06/12/2026 04:02:00 PM,Bought,900001001,Traditional IRA - x1001,50 of SPCX @ $16.234 (Order # 8341),--,$0,-$811.7
 06/12/2026 04:00:05 PM,Sold,900001001,Traditional IRA - x1001,5 of AGX @ $64.168 (Order # 2191),--,$0.007,$320.833
 06/12/2026 04:00:02 PM,Sold,900001001,Traditional IRA - x1001,35 of AUGO @ $6.089 (Order # 8181),--,$0.005,$213.109
 06/12/2026 04:00:02 PM,Sold,900001001,Traditional IRA - x1001,5 of FN @ $61.101 (Order # 7652),--,$0.007,$305.498
 06/12/2026 03:36:04 PM,Sold,900001001,Traditional IRA - x1001,50 of SPCX @ $16.151 (Order # 4080),--,$0.017,$807.526
 06/12/2026 03:35:05 PM,Sold,900001001,Traditional IRA - x1001,150 of SPCX @ $16.178 (Order # 3006),--,$0.05,"$2,426.647"
 06/12/2026 03:32:35 PM,Bought,900001001,Traditional IRA - x1001,50 of SPCX @ $15.935 (Order # 9449),--,$0,-$796.75
 06/12/2026 03:21:37 PM,Bought,900001001,Traditional IRA - x1001,50 of SPCX @ $16.299 (Order # 6278),--,$0,-$814.95
 06/12/2026 03:08:21 PM,Bought,900001001,Traditional IRA - x1001,50 of SPCX @ $16.627 (Order # 4721),--,$0,-$831.35
 06/12/2026 02:39:37 PM,Sold,900001001,Traditional IRA - x1001,100 of SPCX @ $16.959 (Order # 4498),--,$0.035,"$1,695.863"
 06/12/2026 02:27:01 PM,Bought,900001001,Traditional IRA - x1001,10 of MSFT @ $38.749 (Order # 5779),--,$0,-$387.49
 06/12/2026 02:26:10 PM,Sold,900001001,Traditional IRA - x1001,1000 of BTG @ $0.423 (Order # 9914),--,$0.009,$422.471
 06/12/2026 02:24:26 PM,Sold,900001001,Traditional IRA - x1001,200 of SPCX @ $16.999 (Order # 5803),--,$0.071,"$3,399.725"
 06/12/2026 02:20:35 PM,Bought,900001001,Traditional IRA - x1001,100 of SPCX @ $16.783 (Order # 2419),--,$0,"-$1,678.3"
 06/12/2026 02:20:35 PM,Bought,900001001,Traditional IRA - x1001,100 of SPCX @ $16.784 (Order # 2419),--,$0,"-$1,678.399"
 06/12/2026 02:18:29 PM,Bought,900001001,Traditional IRA - x1001,100 of SPCX @ $16.712 (Order # 8919),--,$0,"-$1,671.2"
