"-1, as of 07/01/26 at 07:29 PM EST"
Date / Time,Type,Account #,Account Name,Description,Fee,Comm,Amount
 07/01/2026 09:59:23 AM,Sold,900001001,Traditional IRA - x1001,1 of CRWD @ $77.869,--,$0,$77.867
 07/01/2026 09:55:46 AM,Bought,900001001,Traditional IRA - x1001,50 of ARKX @ $3.403,--,$0,-$170.15
 07/01/2026 09:55:13 AM,Bought,900001001,Traditional IRA - x1001,20 of IGM @ $16.212,--,$0,-$324.24
 07/01/2026 09:54:33 AM,Bought,900001001,Traditional IRA - x1001,25 of IGV @ $9.256,--,$0,-$231.388
 07/01/2026 09:53:41 AM,Bought,900001001,Traditional IRA - x1001,75 of EZPW @ $3.415,--,$0,-$256.088
 07/01/2026 09:53:08 AM,Bought,900001001,Traditional IRA - x1001,35 of SPMO @ $15.792,--,$0,-$552.703
 07/01/2026 09:52:37 AM,Bought,900001001,Traditional IRA - x1001,36 of EMEQ @ $7.057,--,$0,-$254.052
 07/01/2026 09:52:35 AM,Bought,900001001,Traditional IRA - x1001,14 of EMEQ @ $7.053,--,$0,-$98.742
 07/01/2026 09:52:06 AM,Bought,900001001,Traditional IRA - x1001,15 of SPCX @ $16.505,--,$0,-$247.581
 07/01/2026 09:51:32 AM,Bought,900001001,Traditional IRA - x1001,5 of FN @ $54.658,--,$0,-$273.29
 07/01/2026 09:51:07 AM,Bought,900001001,Traditional IRA - x1001,5 of LITE @ $83.962,--,$0,-$419.809
 07/01/2026 09:50:29 AM,Bought,900001001,Traditional IRA - x1001,7 of DY @ $48.693,--,$0,-$340.851
 07/01/2026 09:50:02 AM,Bought,900001001,Traditional IRA - x1001,15 of CRDO @ $26.278,--,$0,-$394.17
 07/01/2026 09:49:23 AM,Bought,900001001,Traditional IRA - x1001,10 of VRT @ $31.975,--,$0,-$319.745
 07/01/2026 09:48:44 AM,Bought,900001001,Traditional IRA - x1001,30 of ICHR @ $10.515,--,$0,-$315.45
 07/01/2026 09:47:51 AM,Bought,900001001,Traditional IRA - x1001,15 of TTMI @ $17.775,--,$0,-$266.621
 07/01/2026 09:47:19 AM,Bought,900001001,Traditional IRA - x1001,5 of STRL @ $78.27,--,$0,-$391.35
 07/01/2026 09:46:55 AM,Bought,900001001,Traditional IRA - x1001,15 of NBIS @ $24.022,--,$0,-$360.323
 07/01/2026 09:46:35 AM,Bought,900001001,Traditional IRA - x1001,75 of MXL @ $11.757,--,$0,-$881.775
 07/01/2026 09:45:48 AM,Sold,900001001,Traditional IRA - x1001,590 of VGSH @ $5.803,--,$0,"$3,423.392"
 06/30/2026 03:01:26 PM,Sold,900001001,Traditional IRA - x1001,25 of ICHR @ $11.234 (Order # 5539),--,$0.006,$280.844
 06/30/2026 01:07:30 PM,Sold,900001002,Individual Brokerage - x1002,1 of LITE @ $84.705 (Order # 8345),--,$0.002,$84.703
 06/30/2026 01:05:45 PM,Sold,900001001,Traditional IRA - x1001,150 of EZPW @ $3.409 (Order # 6886),--,$0.011,$511.336
 06/30/2026 12:09:40 PM,Sold,900001001,Traditional IRA - x1001,5 of SNDK @ $220.567 (Order # 8692),--,$0.023,"$1,102.812"
 06/30/2026 11:42:28 AM,Bought,900001001,Traditional IRA - x1001,150 of BLOX @ $1.546 (Order # 4706),--,$0,-$231.969
 06/30/2026 11:32:02 AM,Sold,900001001,Traditional IRA - x1001,15 of CRDO @ $27.197 (Order # 7255),--,$0.009,$407.946
 06/30/2026 11:25:41 AM,Bought,900001001,Traditional IRA - x1001,50 of TIGO @ $9.111 (Order # 9063),--,$0,-$455.55
 06/30/2026 11:22:11 AM,Sold,900001001,Traditional IRA - x1001,5 of NBIS @ $28.747 (Order # 8507),--,$0.003,$143.732
 06/30/2026 11:08:18 AM,Bought,900001001,Traditional IRA - x1001,25 of MXL @ $11.544 (Order # 1299),--,$0,-$288.6
 06/30/2026 11:04:37 AM,Sold,900001001,Traditional IRA - x1001,60 of SLV @ $5.408 (Order # 2137),--,$0.007,$324.472
 06/30/2026 10:54:29 AM,Sold,900001001,Traditional IRA - x1001,10 of RTX @ $18.905 (Order # 8907),--,$0.004,$189.041
 06/30/2026 10:52:36 AM,Bought,900001001,Traditional IRA - x1001,50 of CNC @ $6.412 (Order # 2739),--,$0,-$320.624
 06/30/2026 10:51:22 AM,Bought,900001001,Traditional IRA - x1001,150 of PINE @ $2.086 (Order # 6985),--,$0,-$312.881
 06/30/2026 10:50:44 AM,Bought,900001001,Traditional IRA - x1001,75.393 of UBER @ $7.367 (Order # 5049),--,$0,-$555.383
 06/30/2026 10:48:40 AM,Sold,900001001,Traditional IRA - x1001,25 of TTMI @ $19.088 (Order # 7807),--,$0.01,$477.19
 06/30/2026 10:47:35 AM,Sold,900001001,Traditional IRA - x1001,5 of FN @ $55.836 (Order # 9308),--,$0.006,$279.172
 06/30/2026 10:47:07 AM,Sold,900001001,Traditional IRA - x1001,10 of BE @ $29.251 (Order # 6314),--,$0.007,$292.498
 06/30/2026 10:46:10 AM,Sold,900001001,Traditional IRA - x1001,25 of CRDO @ $26.848 (Order # 8199),--,$0.014,$671.186
 06/30/2026 10:06:54 AM,Bought,900001003,Partnership / LLC / LLP - x1003,175 of PSTL @ $2.475 (Order # 8729),--,$0,-$433.125
 06/30/2026 10:05:59 AM,Sold,900001003,Partnership / LLC / LLP - x1003,14 of SLV @ $5.35 (Order # 5337),--,$0.002,$74.891
 06/30/2026 10:04:19 AM,Bought,900001003,Partnership / LLC / LLP - x1003,25 of GDMN @ $7.183 (Order # 2276),--,$0,-$179.575
 06/30/2026 10:03:58 AM,Sold,900001003,Partnership / LLC / LLP - x1003,11 of SLV @ $5.341 (Order # 5931),--,$0.002,$58.753
 06/30/2026 10:02:46 AM,Sold,900001003,Partnership / LLC / LLP - x1003,50 of SGDM @ $6.185 (Order # 4996),--,$0.007,$309.242
 06/30/2026 10:01:40 AM,Sold,900001003,Partnership / LLC / LLP - x1003,20 of GDE @ $6.083 (Order # 7899),--,$0.003,$121.66
 06/30/2026 09:52:36 AM,Bought,900001001,Traditional IRA - x1001,150 of PINE @ $2.08 (Order # 4598),--,$0,-$312
 06/30/2026 09:48:58 AM,Bought,900001001,Traditional IRA - x1001,50 of EWY @ $19.848 (Order # 4710),--,$0,-$992.375
 06/30/2026 03:00:00 AM,Dividend,900001003,Partnership / LLC / LLP - x1003,0 of GRNY @ $0,--,$0,$0.787
 06/30/2026 03:00:00 AM,Interest Income,900001003,Partnership / LLC / LLP - x1003,MORGAN STANLEY PRIVATE BANK NA (Period 06/01-06/30),--,$0,$0.005
 06/30/2026 03:00:00 AM,Sweep,900001003,Partnership / LLC / LLP - x1003,BANK DEPOSIT PROGRAM,--,$0,-$0.005
 06/30/2026 03:00:00 AM,Margin Interest,900001002,Individual Brokerage - x1002,Thru 06/30/26 for 16 days,--,$0,-$0.073
 06/30/2026 03:00:00 AM,Dividend,900001001,Traditional IRA - x1001,0 of PINE @ $0,--,$0,$89.85
 06/30/2026 03:00:00 AM,Interest Income,900001001,Traditional IRA - x1001,CASH BALANCE PROGRAM (Period 06/01-06/30),--,$0,$0.113
 06/29/2026 04:00:03 PM,Bought,900001001,Traditional IRA - x1001,75 of UNFI @ $4.619 (Order # 8677),--,$0,-$346.425
 06/29/2026 04:00:01 PM,Sold,900001001,Traditional IRA - x1001,30 of CRWV @ $9.551 (Order # 7275),--,$0.006,$286.523
 06/29/2026 04:00:00 PM,Sold,900001001,Traditional IRA - x1001,30 of USO @ $10.708 (Order # 4866),--,$0.007,$321.232
 06/29/2026 04:00:00 PM,Sold,900001001,Traditional IRA - x1001,25 of MKOR @ $6.446 (Order # 1881),--,$0.004,$161.146
 06/29/2026 04:00:00 PM,Sold,900001001,Traditional IRA - x1001,10 of EWY @ $19.75 (Order # 5414),--,$0.005,$197.495
 06/29/2026 04:00:00 PM,Sold,900001001,Traditional IRA - x1001,150 of SMCI @ $2.815 (Order # 3544),--,$0.009,$422.238
 06/29/2026 01:36:17 PM,Bought,900001001,Traditional IRA - x1001,90 of VGSH @ $5.824 (Order # 7414),--,$0,-$524.115
 06/29/2026 01:28:12 PM,Bought,900001001,Traditional IRA - x1001,50 of GM @ $7.805 (Order # 4634),--,$0,-$390.25
 06/29/2026 01:25:51 PM,Sold,900001001,Traditional IRA - x1001,20 of GOOG @ $35.06 (Order # 3981),--,$0.015,$701.185
 06/29/2026 01:24:28 PM,Bought,900001001,Traditional IRA - x1001,350 of ET @ $1.907 (Order # 3361),--,$0,-$667.275
 06/29/2026 01:21:31 PM,Sold,900001001,Traditional IRA - x1001,30 of BE @ $27.578 (Order # 4495),--,$0.018,$827.306
 06/29/2026 01:20:28 PM,Bought,900001001,Traditional IRA - x1001,7 of BRK.B @ $49.606 (Order # 7906),--,$0,-$347.239
 06/29/2026 01:20:08 PM,Bought,900001001,Traditional IRA - x1001,750 of NLCP @ $1.592 (Order # 7199),--,$0.495,"-$1,194.495"
 06/29/2026 01:16:42 PM,Bought,900001001,Traditional IRA - x1001,20 of MSFT @ $36.975 (Order # 2697),--,$0,-$739.498
 06/29/2026 01:16:31 PM,Bought,900001001,Traditional IRA - x1001,20 of MSFT @ $36.927 (Order # 1727),--,$0,-$738.54
 06/29/2026 01:15:21 PM,Sold,900001001,Traditional IRA - x1001,5 of SLV @ $5.271 (Order # 2208),--,$0.001,$26.355
 06/29/2026 01:14:00 PM,Bought,900001001,Traditional IRA - x1001,125 of CSTM @ $3.12 (Order # 8722),--,$0,-$390
 06/29/2026 01:13:09 PM,Bought,900001001,Traditional IRA - x1001,20 of TTMI @ $18.748 (Order # 4850),--,$0,-$374.95
 06/29/2026 01:12:30 PM,Bought,900001001,Traditional IRA - x1001,4 of SNDK @ $201.458 (Order # 8368),--,$0,-$805.83
 06/29/2026 01:12:08 PM,Bought,900001001,Traditional IRA - x1001,200 of NEXA @ $1.235 (Order # 2315),--,$0,-$246.936
 06/29/2026 01:11:32 PM,Bought,900001001,Traditional IRA - x1001,1000 of BTG @ $0.376 (Order # 5682),--,$0,-$375.5
 06/29/2026 01:09:03 PM,Sold,900001001,Traditional IRA - x1001,64 of SPMO @ $15.76 (Order # 8712),--,$0.021,"$1,008.618"
 06/29/2026 01:08:07 PM,Sold,900001001,Traditional IRA - x1001,75 of ICHR @ $10.452 (Order # 3175),--,$0.017,$783.877
 06/29/2026 01:07:03 PM,Sold,900001001,Traditional IRA - x1001,10 of VRT @ $30.526 (Order # 6806),--,$0.007,$305.253
 06/29/2026 01:06:27 PM,Sold,900001001,Traditional IRA - x1001,80 of SHLD @ $5.875 (Order # 9951),--,$0.01,$469.994
 06/29/2026 01:05:41 PM,Sold,900001001,Traditional IRA - x1001,45 of IGM @ $15.933 (Order # 7332),--,$0.015,$716.969
 06/29/2026 01:04:38 PM,Bought,900001001,Traditional IRA - x1001,7 of BRK.B @ $49.601 (Order # 2807),--,$0,-$347.21
 06/29/2026 01:03:36 PM,Bought,900001001,Traditional IRA - x1001,400 of VTIP @ $5.029 (Order # 8289),--,$0,"-$2,011.4"
 06/29/2026 12:56:51 PM,Bought,900001001,Traditional IRA - x1001,100 of UNFI @ $4.717 (Order # 5344),--,$0,-$471.65
 06/29/2026 12:54:43 PM,Bought,900001001,Traditional IRA - x1001,75 of TIGO @ $9.147 (Order # 1527),--,$0,-$685.997
 06/29/2026 12:46:45 PM,Bought,900001001,Traditional IRA - x1001,150 of ARE @ $5.455 (Order # 4834),--,$0,-$818.175
 06/29/2026 12:45:45 PM,Sold,900001001,Traditional IRA - x1001,50 of AMZN @ $23.998 (Order # 4488),--,$0.025,"$1,199.849"
 06/29/2026 12:44:19 PM,Bought,900001001,Traditional IRA - x1001,500 of VGSH @ $5.824 (Order # 4457),--,$0,"-$2,911.75"
 06/29/2026 12:42:36 PM,Sold,900001001,Traditional IRA - x1001,15 of MXL @ $10.689 (Order # 4799),--,$0.004,$160.331
 06/29/2026 12:41:35 PM,Sold,900001001,Traditional IRA - x1001,7 of MTZ @ $42.08 (Order # 8513),--,$0.007,$294.553
 06/29/2026 12:38:51 PM,Sold,900001001,Traditional IRA - x1001,40 of CRWV @ $9.413 (Order # 2233),--,$0.008,$376.491
 06/29/2026 12:38:06 PM,Sold,900001001,Traditional IRA - x1001,20 of NBIS @ $25.656 (Order # 1670),--,$0.011,$513.109
 06/29/2026 12:36:22 PM,Sold,900001001,Traditional IRA - x1001,10 of SOXX @ $60.641 (Order # 7788),--,$0.013,$606.397
 06/29/2026 12:36:01 PM,Sold,900001001,Traditional IRA - x1001,7 of GOOG @ $35.007 (Order # 2329),--,$0.006,$245.043
 06/29/2026 12:35:42 PM,Sold,900001001,Traditional IRA - x1001,5 of GOOG @ $35.021 (Order # 1696),--,$0.004,$175.099
