"900001004, as of 07/01/26 at 07:40 PM EST"
Date / Time,Type,Account #,Account Name,Description,Fee,Comm,Amount
 06/30/2026 11:59:39 AM,Bought,900001004,Individual 401(k) - x1004,40 of GM @ $7.63 (Order # 5999),--,$0,-$305.2
 06/30/2026 11:53:59 AM,Sold,900001004,Individual 401(k) - x1004,7 of VTI @ $36.935 (Order # 7556),--,$0.006,$258.541
 06/30/2026 03:00:00 AM,Dividend,900001004,Individual 401(k) - x1004,0 of GRNY @ $0,--,$0,$0.404
 06/30/2026 03:00:00 AM,Dividend,900001004,Individual 401(k) - x1004,0 of VTI @ $0,--,$0,$0.731
 06/30/2026 03:00:00 AM,Interest Income,900001004,Individual 401(k) - x1004,MORGAN STANLEY BANK N.A. (Period 06/01-06/30),--,$0,$0.024
 06/30/2026 03:00:00 AM,Sweep,900001004,Individual 401(k) - x1004,BANK DEPOSIT PROGRAM,--,$0,-$0.024
 06/30/2026 03:00:00 AM,Sweep,900001004,Individual 401(k) - x1004,BANK DEPOSIT PROGRAM,--,$0,-$47.693
 06/29/2026 03:56:06 PM,Bought,900001004,Individual 401(k) - x1004,15 of MSFT @ $36.85 (Order # 4766),--,$0,-$552.75
 06/29/2026 03:53:56 PM,Sold,900001004,Individual 401(k) - x1004,25 of AMZN @ $24.018 (Order # 1582),--,$0.013,$600.443
 06/29/2026 03:00:00 AM,Sweep,900001004,Individual 401(k) - x1004,BANK DEPOSIT PROGRAM,--,$0,$443.105
 06/26/2026 01:24:43 PM,Bought,900001004,Individual 401(k) - x1004,120 of VGSH @ $5.826 (Order # 4555),--,$0,-$699.119
 06/26/2026 01:23:44 PM,Sold,900001004,Individual 401(k) - x1004,200 of IBIT @ $3.399 (Order # 8996),--,$0.015,$679.861
 06/26/2026 01:22:37 PM,Bought,900001004,Individual 401(k) - x1004,15 of SPMO @ $15.659 (Order # 6323),--,$0,-$234.885
 06/26/2026 01:22:04 PM,Bought,900001004,Individual 401(k) - x1004,20 of EWY @ $20.116 (Order # 8133),--,$0,-$402.31
 06/26/2026 01:21:07 PM,Sold,900001004,Individual 401(k) - x1004,35 of GDE @ $6.096 (Order # 8279),--,$0.005,$213.348
 06/26/2026 03:00:00 AM,Dividend,900001004,Individual 401(k) - x1004,0 of SPMO @ $0,--,$0,$1.226
 06/26/2026 03:00:00 AM,Dividend,900001004,Individual 401(k) - x1004,0 of VOOV @ $0,--,$0,$2.112
 06/26/2026 03:00:00 AM,Sweep,900001004,Individual 401(k) - x1004,BANK DEPOSIT PROGRAM,--,$0,-$3.338
 06/25/2026 03:00:00 AM,Sweep,900001004,Individual 401(k) - x1004,BANK DEPOSIT PROGRAM,--,$0,"$3,824.6"
 06/24/2026 10:20:31 AM,Bought,900001004,Individual 401(k) - x1004,400 of IBIT @ $3.443 (Order # 7828),--,$0,"-$1,377.2"
 06/24/2026 10:13:19 AM,Bought,900001004,Individual 401(k) - x1004,400 of IBIT @ $3.456 (Order # 1221),--,$0,"-$1,382.4"
 06/24/2026 09:30:00 AM,Bought,900001004,Individual 401(k) - x1004,150 of GDMN @ $7.1 (Order # 6027),--,$0,"-$1,065"
 06/23/2026 03:00:00 AM,Sweep,900001004,Individual 401(k) - x1004,BANK DEPOSIT PROGRAM,--,$0,-$1.969
 06/23/2026 03:00:00 AM,Dividend,900001004,Individual 401(k) - x1004,0 of VT @ $0,--,$0,$1.969
 06/22/2026 03:00:00 AM,Sweep,900001004,Individual 401(k) - x1004,BANK DEPOSIT PROGRAM,--,$0,-$394.818
 06/18/2026 09:31:33 AM,Sold,900001004,Individual 401(k) - x1004,3 of BE @ $30.499 (Order # 4729),--,$0.002,$91.495
 06/18/2026 09:31:28 AM,Sold,900001004,Individual 401(k) - x1004,10 of BE @ $30.333 (Order # 8989),--,$0.007,$303.323
 06/18/2026 03:00:00 AM,Qualified Dividend,900001004,Individual 401(k) - x1004,GENERAL MTRS CO REC 06/18/26 PAY 06/18/26 RATE 0.00000000 QTY 0.00000000,--,$0,$1.8
