"Account All Accounts - 3 accounts Orders, as of 06/14/26 at 08:58 PM EST"
Symbol,Status,Fill,Description,Market,Time,Account
SGDM,Queued,--,Buy 150 Shares @ Market to Open,8.47,"06/14/2026, 9:54:06 AM",900001001
SGDM,Queued,--,Buy 50 Shares @ Market to Open,8.47,"06/14/2026, 9:53:23 AM",900001003
SPCX,Open,--,Buy 100 Shares @ 14.599 Limit GTC to Open,16.685,"06/12/2026, 2:42:41 PM",900001001
SPCX,Open,--,Buy 100 Shares @ 13.999 Limit GTC to Open,16.685,"06/12/2026, 2:06:29 PM",900001001
IBIT,Open,--,Buy 250 Shares @ 3.345 Limit GTC to Open,3.6,"06/11/2026, 12:32:04 PM",900001001
PARR,Saved,--,Sell 35 Shares @ Market CLO to Close,5.45,"06/02/2026, 11:29:03 AM",900001001
SPCX,Expired,--,Buy 200 Shares @ 14.999 Limit EXT to Open,16.685,"06/12/2026, 8:07:08 PM",900001001
SPCX,Filled,100 @ 16.719,Buy 100 Shares @ 16.719 Limit EXT to Open,16.685,"06/12/2026, 7:36:12 PM",900001001
SPCX,Canceled,--,Buy 200 Shares @ 15.999 Limit EXT to Open,16.685,"06/12/2026, 6:14:26 PM",900001001
SPCX,Canceled,--,Buy 150 Shares @ 15.623 Limit EXT to Open,16.685,"06/12/2026, 6:11:50 PM",900001001
SPCX,Filled,50 @ 16.599,Sell 50 Shares @ 16.599 Limit EXT to Close,16.671,"06/12/2026, 5:32:51 PM",900001001
SPCX,Expired,--,Buy 50 Shares @ 15.807 Limit to Open,16.685,"06/12/2026, 4:06:29 PM",900001001
SPCX,Expired,--,Buy 100 Shares @ 15.389 Limit to Open,16.685,"06/12/2026, 4:06:29 PM",900001001
SPCX,Filled,50 @ 16.234,Buy 50 Shares @ 16.234 Limit EXT to Open,16.685,"06/12/2026, 4:02:00 PM",900001001
SPCX,Expired,--,Sell 50 Shares @ 16.299 Limit to Close,16.671,"06/12/2026, 4:00:11 PM",900001001
FN,Filled,5 @ 61.101,Sell 5 Shares @ Market CLO to Close,60.2,"06/12/2026, 4:00:11 PM",900001001
