"Account All Accounts - 3 accounts Orders, as of 06/16/26 at 07:57 PM EST"
Symbol,Status,Fill,Description,Market,Time,Account
DRH,Open,--,Buy 750 Shares @ 1.188 Limit GTC to Open,1.221,"06/16/2026, 10:23:29 AM",900001001
MRK,Open,--,Sell 150 Shares @ 12.234 Limit GTC to Close,11.5,"06/15/2026, 10:18:57 AM",900001001
ICHR,Open,--,Sell 60 Shares @ 9.216 Limit GTC to Close,8.577,"06/15/2026, 10:03:45 AM",900001001
SPCX,Open,--,Buy 100 Shares @ 14.599 Limit GTC to Open,20.59,"06/12/2026, 2:42:41 PM",900001001
SPCX,Open,--,Buy 100 Shares @ 13.999 Limit GTC to Open,20.59,"06/12/2026, 2:06:29 PM",900001001
IBIT,Open,--,Buy 250 Shares @ 3.345 Limit GTC to Open,3.722,"06/11/2026, 12:32:04 PM",900001001
PARR,Saved,--,Sell 35 Shares @ Market CLO to Close,5.106,"06/02/2026, 11:29:03 AM",900001001
SPCX,Expired,--,Sell 100 Shares @ 22.789 Limit to Close,20.58,"06/16/2026, 4:00:14 PM",900001001
AGX,Filled,5 @ 690.39,Buy 5 Shares @ Market CLO to Open,69.2,"06/16/2026, 4:00:04 PM",900001001
GM,Filled,25 @ 82.51,Buy 25 Shares @ Market CLO to Open,8.3,"06/16/2026, 4:00:04 PM",900001001
CRWD,Filled,5 @ 679.49,Buy 5 Shares @ Market CLO to Open,68.088,"06/16/2026, 4:00:03 PM",900001001
NEM,Filled,5 @ 108.44,Sell 5 Shares @ Market CLO to Close,10.8,"06/16/2026, 4:00:03 PM",900001001
CRWV,Filled,5 @ 117.03,Sell 5 Shares @ Market CLO to Close,11.714,"06/16/2026, 4:00:03 PM",900001001
CRDO,Filled,10 @ 239.18,Buy 10 Shares @ Market CLO to Open,24,"06/16/2026, 4:00:03 PM",900001001
QQQ,Filled,3 @ 729.86,Buy 3 Shares @ Market CLO to Open,73.046,"06/16/2026, 4:00:02 PM",900001001
MLPI,Filled,35 @ 54.49,Sell 35 Shares @ Market CLO to Close,5.46,"06/16/2026, 4:00:02 PM",900001001
BTG,Filled,200 @ 4.57,Sell 200 Shares @ Market CLO to Close,0.454,"06/16/2026, 4:00:02 PM",900001001
PLTR,Filled,25 @ 133.25,Buy 25 Shares @ Market CLO to Open,13.265,"06/16/2026, 4:00:02 PM",900001001
MDLZ,Filled,50 @ 62.15,Sell 50 Shares @ Market CLO to Close,6.15,"06/16/2026, 4:00:02 PM",900001001
GDE,Filled,80 @ 65.74,Sell 80 Shares @ Market CLO to Close,6.012,"06/16/2026, 4:00:01 PM",900001001
