"Account All Accounts - 3 accounts Orders, as of 07/01/26 at 07:27 PM EST"
Symbol,Status,Fill,Description,Market,Time,Account
LITE,Filled,1 @ 81.698,Buy 1 Share @ Market CLO to Open,80.258,"06/26/2026, 4:00:03 PM",900001002
MU,Filled,2 @ 108.127,Buy 2 Shares @ Market to Open,103.301,"06/23/2026, 9:51:32 AM",900001003
GDMN,Filled,25 @ 8.263,Buy 25 Shares @ Market to Open,7.262,"06/18/2026, 2:57:31 PM",900001003
GDE,Filled,1 @ 6.569,Sell 1 Share @ Market to Close,5.948,"06/16/2026, 10:29:55 AM",900001002
SGDM,Filled,50 @ 7.065,Buy 50 Shares @ Market to Open,6.764,"06/15/2026, 9:30:36 AM",900001003
SPMO,Filled,25 @ 15.206,Buy 25 Shares @ Market to Open,15.571,"06/12/2026, 10:00:55 AM",900001003
CRDO,Filled,30 @ 24.925,Buy 30 Shares @ Market to Open,25.953,"06/12/2026, 10:00:25 AM",900001003
SPMO,Filled,150 @ 15.012,Buy 150 Shares @ 15.012 Limit to Open,15.571,"06/12/2026, 9:45:51 AM",900001003
SPMO,Canceled,--,Buy 75 Shares @ 15.007 Limit EXT to Open,15.571,"06/12/2026, 9:32:00 AM",900001003
MDLZ,Filled,15 @ 6.332,Buy 15 Shares @ Market to Open,5.982,"06/12/2026, 9:30:02 AM",900001003
LITE,Filled,1 @ 88.959,Sell 1 Share @ Market CLO to Close,80,"06/11/2026, 4:00:03 PM",900001003
CLS,Filled,5 @ 38.586,Sell 5 Shares @ Market CLO to Close,35.5,"06/11/2026, 4:00:03 PM",900001003
SLV,Filled,25 @ 6.082,Sell 25 Shares @ Market CLO to Close,5.359,"06/11/2026, 4:00:02 PM",900001003
SLV,Filled,39 @ 6.082,Sell 39 Shares @ Market CLO to Close,5.359,"06/11/2026, 4:00:01 PM",900001003
GDE,Filled,10 @ 6.315,Sell 10 Shares @ Market CLO to Close,5.948,"06/11/2026, 4:00:01 PM",900001003
